"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3753","should refresh the Quarterly Performance chart on Home","UI (E2E)","2026-07-13","passed","2026-07-13","Reports and Dashboards","reports/home-refresh-chart.spec.ts","",""
"","7210","should create a Task from an Assistant recommendation","UI (E2E)","2026-07-13","passed","2026-07-13","Home Page Widgets","home/assistant-new-task.spec.ts","",""
"","503","exchanges a signed JWT for a usable session","API","2026-07-13","passed","2026-07-13","API: JWT bearer token exchange","api/auth/token-exchange.spec.ts","",""
"","63020","should navigate primary tabs within the Service app","UI (E2E)","2026-07-13","failed","2026-07-13","Navigation and App Switching","navigation/service-tabs.spec.ts","",""
"","244","testIsOverdue_openFutureCloseDate","","","passed","","","Apex","Apex.OpportunityServiceTest",""
"","5542","should return results for a known Account name","UI (E2E)","2026-07-13","passed","2026-07-13","Global Search","search/global-search-account.spec.ts","",""
"","3334","traverses a parent relationship in the SELECT clause","API","2026-07-13","passed","2026-07-13","API: SOQL query","api/query/soql.spec.ts","",""
"","6215","should comment on a Chatter post","UI (E2E)","2026-07-13","passed","2026-07-13","Chatter","chatter/chatter.spec.ts","",""
"","10013","should navigate Dashboards tab and open a dashboard","UI (E2E)","2026-07-13","passed","2026-07-13","Reports and Dashboards","reports/view-dashboard.spec.ts","",""
"","0","should log out successfully","auth","2026-07-13","skipped","2026-07-13","Authentication","auth/logout.spec.ts","",""
"","252","rejects a malformed assertion at the token endpoint","API","2026-07-13","passed","2026-07-13","API: JWT bearer token exchange","api/auth/token-exchange.spec.ts","",""
"","244","exposes the pinned API version","API","2026-07-13","passed","2026-07-13","API: metadata & platform","api/metadata/describe-limits.spec.ts","",""
"","1","should log in with valid credentials and land on Home","auth","2026-07-13","skipped","2026-07-13","Authentication","auth/login-valid.spec.ts","",""
"","9882","should edit an existing Contact","UI (E2E)","2026-07-13","passed","2026-07-13","Contacts","contacts/edit-contact.spec.ts","",""
"","4009","should view Today's Events and open Calendar","UI (E2E)","2026-07-13","passed","2026-07-13","Home Page Widgets","home/view-events.spec.ts","",""
"","246","returns 400 MALFORMED_QUERY for invalid SOQL","API","2026-07-13","passed","2026-07-13","API: validation & errors","api/validation/errors.spec.ts","",""
"","10045","should delete an Account","UI (E2E)","2026-07-13","passed","2026-07-13","Accounts","accounts/delete-account.spec.ts","",""
"","17842","should create a new Contact linked to an Account","UI (E2E)","2026-07-13","passed","2026-07-13","Contacts","contacts/create-contact.spec.ts","",""
"","5020","should search and filter within Accounts list view","UI (E2E)","2026-07-13","passed","2026-07-13","Accounts","accounts/list-view-search.spec.ts","",""
"","2671","creates, retrieves, updates, and deletes an Opportunity","API","2026-07-13","passed","2026-07-13","API: Opportunity CRUD","api/crud/opportunity.spec.ts","",""
"","4489","should display and dismiss an Assistant recommendation","UI (E2E)","2026-07-13","passed","2026-07-13","Home Page Widgets","home/assistant-dismiss.spec.ts","",""
"","254","rejects a create that references an unknown field (400)","API","2026-07-13","passed","2026-07-13","API: validation & errors","api/validation/errors.spec.ts","",""
"","387","the issued token authorizes a REST call","API","2026-07-13","passed","2026-07-13","API: JWT bearer token exchange","api/auth/token-exchange.spec.ts","",""
"","6104","should open App Launcher and list available apps","UI (E2E)","2026-07-13","passed","2026-07-13","Navigation and App Switching","navigation/app-launcher-list.spec.ts","",""
"","195","testGetOpenCaseCountForAccount_noCases","","","passed","","","Apex","Apex.CaseServiceTest",""
"","303","testGetTotalOpenOpportunityAmount_nullAmount","","","passed","","","Apex","Apex.AccountServiceTest",""
"","275","returns 404 NOT_FOUND for a nonexistent record id","API","2026-07-13","passed","2026-07-13","API: validation & errors","api/validation/errors.spec.ts","",""
"","1","should show an error for invalid credentials","auth","2026-07-13","skipped","2026-07-13","Authentication","auth/login-invalid.spec.ts","",""
"","7633","should switch between apps via App Launcher","UI (E2E)","2026-07-13","passed","2026-07-13","Navigation and App Switching","navigation/app-switch.spec.ts","",""
"","2786","creates, retrieves, updates, and deletes a Contact","API","2026-07-13","passed","2026-07-13","API: Contact CRUD","api/crud/contact.spec.ts","",""
"","0","should navigate to forgot password flow","auth","2026-07-13","skipped","2026-07-13","Authentication","auth/forgot-password.spec.ts","",""
"","3144","creates, retrieves, updates, and deletes an Account","API","2026-07-13","passed","2026-07-13","API: Account CRUD","api/crud/account.spec.ts","",""
"","9402","should edit an existing Account","UI (E2E)","2026-07-13","passed","2026-07-13","Accounts","accounts/edit-account.spec.ts","",""
"","6751","should show no results state for a nonsense query","UI (E2E)","2026-07-13","passed","2026-07-13","Global Search","search/global-search-empty.spec.ts","",""
"","12552","should create a new Case","UI (E2E)","2026-07-13","passed","2026-07-13","Cases","cases/create-case.spec.ts","",""
"","8791","should navigate Reports tab and open a report","UI (E2E)","2026-07-13","passed","2026-07-13","Reports and Dashboards","reports/view-report.spec.ts","",""
"","18621","should create a new Opportunity linked to an Account","UI (E2E)","2026-07-13","passed","2026-07-13","Opportunities","opportunities/create-opportunity.spec.ts","",""
"","6085","should post an update to Chatter feed","UI (E2E)","2026-07-13","passed","2026-07-13","Chatter","chatter/chatter.spec.ts","",""
"","402","testGetTotalOpenOpportunityAmount_noOpportunities","","","passed","","","Apex","Apex.AccountServiceTest",""
"","8344","should filter Cases list by status","UI (E2E)","2026-07-13","passed","2026-07-13","Cases","cases/filter-cases.spec.ts","",""
"","492","reports org API limits","API","2026-07-13","passed","2026-07-13","API: metadata & platform","api/metadata/describe-limits.spec.ts","",""
"","6557","should view Account related lists","UI (E2E)","2026-07-13","passed","2026-07-13","Accounts","accounts/view-related-lists.spec.ts","",""
"","7526","should view Key Deals on Home page","UI (E2E)","2026-07-13","passed","2026-07-13","Opportunities","opportunities/home-key-deals.spec.ts","",""
"","251","testIsOverdue_closedPastCloseDate","","","passed","","","Apex","Apex.OpportunityServiceTest",""
"","9454","should progress an Opportunity through stages","UI (E2E)","2026-07-13","passed","2026-07-13","Opportunities","opportunities/update-stage.spec.ts","",""
"","4789","creates, retrieves, updates, and deletes a Case","API","2026-07-13","passed","2026-07-13","API: Case CRUD","api/crud/case.spec.ts","",""
"","12003","should create a new Account","UI (E2E)","2026-07-13","passed","2026-07-13","Accounts","accounts/create-account.spec.ts","",""
"","9328","should update Case status","UI (E2E)","2026-07-13","passed","2026-07-13","Cases","cases/update-case-status.spec.ts","",""
"","12761","should delete a Contact","UI (E2E)","2026-07-13","passed","2026-07-13","Contacts","contacts/delete-contact.spec.ts","",""
"","5190","should search apps and items from App Launcher","UI (E2E)","2026-07-13","passed","2026-07-13","Navigation and App Switching","navigation/app-launcher-search.spec.ts","",""
"","251","testIsOverdue_openPastCloseDate","","","passed","","","Apex","Apex.OpportunityServiceTest",""
"","379","testGetOpenCaseCountForAccount_mixedCases","","","passed","","","Apex","Apex.CaseServiceTest",""
"","262","testGetTotalOpenOpportunityAmount_withOpenOpportunities","","","passed","","","Apex","Apex.AccountServiceTest",""
"","680","describes the Account sobject schema","API","2026-07-13","passed","2026-07-13","API: metadata & platform","api/metadata/describe-limits.spec.ts","",""
"","512","rejects a create that omits a required field (400 REQUIRED_FIELD_MISSING)","API","2026-07-13","passed","2026-07-13","API: validation & errors","api/validation/errors.spec.ts","",""
"","1514","finds a seeded record by an exact field filter","API","2026-07-13","passed","2026-07-13","API: SOQL query","api/query/soql.spec.ts","",""
"","217","testGetContactCountForAccount_noContacts","","","passed","","","Apex","Apex.ContactServiceTest",""
"","250","returns 401 for a request with no bearer token","API","2026-07-13","passed","2026-07-13","API: validation & errors","api/validation/errors.spec.ts","",""
"","6513","should mark a Task complete from Today's Tasks","UI (E2E)","2026-07-13","passed","2026-07-13","Home Page Widgets","home/complete-task.spec.ts","",""
"","3089","links a Contact to an Account and resolves the parent both ways","API","2026-07-13","passed","2026-07-13","API: Contact/Account relationship","api/relationships/contact-account.spec.ts","",""
"","437","testGetContactCountForAccount_withContacts","","","passed","","","Apex","Apex.ContactServiceTest",""
"","5941","authenticate","setup","2026-07-13","passed","2026-07-13","","auth.setup.ts","",""
