"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4848","should view Today's Events and open Calendar","UI (E2E)","2026-07-13","passed","2026-07-13","Home Page Widgets","home/view-events.spec.ts","",""
"","6753","creates, retrieves, updates, and deletes a Case","API","2026-07-13","passed","2026-07-13","API: Case CRUD","api/crud/case.spec.ts","",""
"","10325","should navigate Dashboards tab and open a dashboard","UI (E2E)","2026-07-13","passed","2026-07-13","Reports and Dashboards","reports/view-dashboard.spec.ts","",""
"","15342","should filter Cases list by status","UI (E2E)","2026-07-13","passed","2026-07-13","Cases","cases/filter-cases.spec.ts","",""
"","4220","should search apps and items from App Launcher","UI (E2E)","2026-07-13","passed","2026-07-13","Navigation and App Switching","navigation/app-launcher-search.spec.ts","",""
"","6969","should view Account related lists","UI (E2E)","2026-07-13","passed","2026-07-13","Accounts","accounts/view-related-lists.spec.ts","",""
"","4562","creates, retrieves, updates, and deletes an Account","API","2026-07-13","passed","2026-07-13","API: Account CRUD","api/crud/account.spec.ts","",""
"","1433","reports org API limits","API","2026-07-13","passed","2026-07-13","API: metadata & platform","api/metadata/describe-limits.spec.ts","",""
"","1523","describes the Account sobject schema","API","2026-07-13","passed","2026-07-13","API: metadata & platform","api/metadata/describe-limits.spec.ts","",""
"","4944","should display and dismiss an Assistant recommendation","UI (E2E)","2026-07-13","passed","2026-07-13","Home Page Widgets","home/assistant-dismiss.spec.ts","",""
"","215","testGetOpenCaseCountForAccount_noCases","","","passed","","","Apex","Apex.CaseServiceTest",""
"","245","rejects a malformed assertion at the token endpoint","API","2026-07-13","passed","2026-07-13","API: JWT bearer token exchange","api/auth/token-exchange.spec.ts","",""
"","255","exposes the pinned API version","API","2026-07-13","passed","2026-07-13","API: metadata & platform","api/metadata/describe-limits.spec.ts","",""
"","545","the issued token authorizes a REST call","API","2026-07-13","passed","2026-07-13","API: JWT bearer token exchange","api/auth/token-exchange.spec.ts","",""
